GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,CI_Exists_Checked,CI_Tools_Detected
lsds/KungFu,Y,298,384,7566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lsds/KungFu/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lsds/KungFu/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced byhttps://github.com/lsds/KungFu/issues/304 and https://github.com/loujie0822/DeepIE/issues/27",https://github.com/lsds/KungFu/blob/master/LICENSE,There are many files related to testing,2024-02-23,41,7,444.4,ML Frameworks / Libraries,3,"Fast and Adaptive Distributed Machine Learning for TensorFlow, PyTorch and MindSpore.","distributed-systems, distributed-training, keras, tensorflow",small,Yes,"GitLab CI, GitHub Actions"
magenta/ddsp,Y,3115,472,9882,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/magenta/ddsp/graphs/contributors shows there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/magenta/ddsp/blob/master/ddsp/effects.py and https://github.com/magenta/ddsp/blob/master/ddsp/losses.py and https://github.com/magenta/ddsp/blob/master/ddsp/processors.py have appropriate docstrings",https://github.com/magenta/ddsp/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/magenta/ddsp/issues/147 and https://github.com/magenta/ddsp/issues/145",https://github.com/magenta/ddsp/blob/master/LICENSE,There are many files related to testing,2024-09-23,18,26,2167.6,Domain-Specific Applications,7, DDSP: Differentiable Digital Signal Processing,,small,Yes,GitHub Actions
magenta/magenta,Y,19667,1425,44690,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/magenta/magenta/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_config_flags.py and https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_pipeline.py and https://github.com/magenta/magenta/blob/master/magenta/models/nsynth/reader.py have appropriate docstrings",https://github.com/magenta/magenta/graphs/commit-activity shows there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/magenta/magenta/issues/1759 and https://github.com/magenta/magenta/issues/1757",https://github.com/magenta/magenta/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-07-08,10,143,12584.3,Reinforcement Learning,2,Magenta: Music and Art Generation with Machine Intelligence,,large,Yes,GitHub Actions
MAIF/melusine,Y,360,806,7613,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MAIF/melusine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MAIF/melusine/issues/1 and https://github.com/MAIF/melusine/issues/5 however there are only 4 issues raised in total",https://github.com/MAIF/melusine/blob/master/LICENSE is provided.,There are many files related to testing.,2025-01-23,3,26,1165.8,ML Frameworks / Libraries,4,📧 Melusine: Use python to automatize your email processing workflow,"courriels, datascience, emails, natural-language-processing, nlp, nlp-machine-learning, python, python3",small,Yes,"Tox (Python Testing), Makefile (Possible CI), GitHub Actions"
MarkUsProject/Markus,Y,267,16658,1705,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MarkUsProject/Markus/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MarkUsProject/Markus/issues/4710 and https://github.com/MarkUsProject/Markus/issues/4473",https://github.com/MarkUsProject/Markus/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-27,34,177,10414.2,Reinforcement Learning,2,Git repository of MarkUs,,small,Yes,GitHub Actions
masa-su/pixyz,Y,499,901,5683,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/masa-su/pixyz/graphs/contributors shows that there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/masa-su/pixyz/blob/master/pixyz/utils.py and https://github.com/masa-su/pixyz/blob/master/pixyz/layers/resnet.py and https://github.com/masa-su/pixyz/blob/master/pixyz/losses/elbo.py have appropriate docstrings",https://github.com/masa-su/pixyz/graphs/commit-activity shows that there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/masa-su/pixyz/issues/111 and https://github.com/masa-su/pixyz/issues/101",https://github.com/masa-su/pixyz/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-09-22,16,11,799.9000000000001,ML Frameworks / Libraries,3,"A library for developing deep generative models in a more concise, intuitive and extendable way",,small,Yes,Travis CI
MIC-DKFZ/nnUNet,Y,7341,1773,14017,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIC-DKFZ/nnUNet/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not last month,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/nnUNet/issues/239 and https://github.com/MIC-DKFZ/nnUNet/issues/212",https://github.com/MIC-DKFZ/nnUNet/blob/master/LICENSE is provided.,Only managed to find 1 file related to testing,2025-08-15,6,77,5778.3,Domain-Specific Applications,3,,segmentation,medium,Yes,GitHub Actions
michaelhush/M-LOOP,Y,167,655,4607,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/michaelhush/M-LOOP/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/michaelhush/M-LOOP/blob/master/mloop/interfaces.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/controllers.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/neuralnet.py have appropriate docstrings",https://github.com/michaelhush/M-LOOP/graphs/commit-activity shows that there have been activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/michaelhush/M-LOOP/issues/40 and https://github.com/michaelhush/M-LOOP/issues/38",https://github.com/michaelhush/M-LOOP/blob/master/LICENSE.txt,There are many files related to testing,2025-09-16,2,11,593.3,Natural Language Processing,1,M-LOOP: Machine-learning online optimization package,,small,Yes,Travis CI
microsoft/ai-edu,N,13977,694,31803,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2024-05-16,14,58,7539.0,Data Science / Traditional ML,1,"AI education materials for Chinese students, teachers and IT professionals.",,large,Yes,GitHub Actions
microsoft/botbuilder-python,Y,764,1826,47236,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/botbuilder-python/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-ai/botbuilder/ai/luis/luis_recognizer.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-applicationinsights/botbuilder/applicationinsights/application_insights_telemetry_client.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-core/botbuilder/core/activity_handler.py have appropriate docstrings",https://github.com/microsoft/botbuilder-python/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/botbuilder-python/issues/1236 and https://github.com/microsoft/botbuilder-python/issues/1235",https://github.com/microsoft/botbuilder-python/blob/master/LICENSE,There are many files related to testing,2025-05-28,21,68,2893.4,Reinforcement Learning,1,"The Microsoft Bot Framework provides what you need to build and connect intelligent bots that interact naturally wherever your users are talking, from text/sms to Skype, Slack, Office 365 mail and other popular services.","bot, bot-framework, bots, microsoft, microsoft-bot-framework, microsoft-cognitive-services, python",large,Yes,GitHub Actions
microsoft/DeepSpeed,Y,40233,2931,96442,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,There are many files related to testing,2025-09-27,819,409,29242.5,Natural Language Processing,2,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","billion-parameters, compression, data-parallelism, deep-learning, gpu, inference, machine-learning, mixture-of-experts, model-parallelism, pipeline-parallelism, pytorch, trillion-parameters, zero",large,Yes,"Makefile (Possible CI), GitHub Actions"
microsoft/hummingbird,Y,3481,481,14949,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",https://github.com/microsoft/hummingbird/blob/master/LICENSE,There are many files related to testing,2025-07-17,31,35,2586.7,ML Frameworks / Libraries,5,Hummingbird compiles trained ML models into tensor computation for faster inference.,"machine-learning, neural-networks, pytorch, scikit-learn, tensor-computation",medium,Yes,GitHub Actions
microsoft/MMdnn,Y,5813,1085,27846,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/MMdnn/blob/master/LICENSE,There are many files related to testing,2025-08-07,14,65,4600.7,ML Frameworks / Libraries,9,"MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.","caffe, cntk, coreml, darknet, keras, model-converter, mxnet, onnx, pytorch, tensorflow, visualization",large,Yes,Travis CI
microsoft/Windows-Machine-Learning,Y,1097,1731,562,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,There are many files related to testing,2025-08-07,101,47,2368.1,ML Frameworks / Libraries,6,Samples and Tools for Windows ML.,"ai, caffe2, coreml, deep-learning, keras, machine-learning, ml, neural-network, onnx, pytorch, scikit-learn, tensorflow, windows, winmltools",small,Yes,AppVeyor
mindsdb/mindsdb,Y,36195,19670,134139,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,There are many files related to testing,2025-09-25,326,791,44109.0,Natural Language Processing,1,"AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need","agents, agi, ai, analytics, artificial-inteligence, business-intelligence, databases, hacktoberfest, llms, mcp, rag",large,Yes,"Makefile (Possible CI), GitHub Actions"
MIPT-Oulu/solt,Y,265,443,4768,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIPT-Oulu/solt/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MIPT-Oulu/solt/issues/73 and https://github.com/MIPT-Oulu/solt/issues/59 but not often",https://github.com/MIPT-Oulu/solt/blob/master/LICENSE is provided.,There are files related to testing.,2025-06-01,9,6,418.9,Computer Vision,4,Streaming over lightweight data transformations,"data-augmentation, deep-learning, image-recognition, image-segmentation, landmark-detection",small,Yes,GitHub Actions
MITK/MITK,Y,776,46189,55,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MITK/MITK/graphs/contributors shows that there are multiple contributors,The project uses CTest from CMake,There is a well-maintained documentation,Evidence of sustained commit activity,Issues tab disabled but maintainers do respond to pull requests,https://github.com/MITK/MITK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-25,4,61,15997.1,ML Frameworks / Libraries,3,The Medical Imaging Interaction Toolkit.,"cpp-library, dicom, dicom-browser, dicom-rt, medical-image-computing, medical-imaging, mitk",small,No,No CI config found
mittagessen/kraken,Y,888,2290,13974,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mittagessen/kraken/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mittagessen/kraken/blob/master/kraken/pageseg.py and https://github.com/mittagessen/kraken/blob/master/kraken/repo.py and https://github.com/mittagessen/kraken/blob/master/kraken/rpred.py have appropriate docstrings",https://github.com/mittagessen/kraken/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mittagessen/kraken/issues/214 and https://github.com/mittagessen/kraken/issues/209",https://github.com/mittagessen/kraken/blob/master/LICENSE,There are many files related to testing,2025-09-25,38,27,1852.2,Domain-Specific Applications,2,OCR engine for all the languages,"alto-xml, handwritten-text-recognition, hocr, htr, layout-analysis, neural-networks, ocr, optical-character-recognition, page-xml",medium,Yes,GitHub Actions
mlflow/mlflow,Y,22264,8857,320527,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlflow/mlflow/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mlflow/mlflow/blob/master/mlflow/models/model.py and https://github.com/mlflow/mlflow/blob/master/mlflow/models/flavor_backend.py and https://github.com/mlflow/mlflow/blob/master/mlflow/tracking/fluent.py have appropriate docstrings",https://github.com/mlflow/mlflow/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mlflow/mlflow/issues/3053 and https://github.com/mlflow/mlflow/issues/3052",https://github.com/mlflow/mlflow/blob/master/LICENSE.txt,There are many files related to testing,2025-09-28,312,849,37032.7,MLOps / Deployment,5,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.","agentops, agents, ai, ai-governance, apache-spark, evaluation, langchain, llm-evaluation, llmops, machine-learning, ml, mlflow, mlops, model-management, observability, open-source, openai, prompt-engineering",large,Yes,GitHub Actions
mljar/mljar-supervised,Y,3205,1239,19321,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,There are no contributors to the project other than the author,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mljar/mljar-supervised/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mljar/mljar-supervised/issues/110 and https://github.com/mljar/mljar-supervised/issues/109",https://github.com/mljar/mljar-supervised/blob/master/LICENSE,There are many files related to testing,2025-07-07,5,27,2463.7,Data Science / Traditional ML,11,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation","automated-machine-learning, automl, automl-api, automl-python, catboost, data-science, decision-tree, ensemble, feature-engineering, hyper-parameters, hyperparameter-optimization, lightgbm, machine-learning, mljar, neural-network, random-forest, scikit-learn, xgboost",medium,Yes,GitHub Actions
mlmed/torchxrayvision,Y,1062,414,6002,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlmed/torchxrayvision/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlmed/torchxrayvision/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlmed/torchxrayvision/issues/21 and https://github.com/mlmed/torchxrayvision/issues/13",https://github.com/mlmed/torchxrayvision/blob/master/LICENSE,One test file,2025-09-18,7,9,819.0,Computer Vision,4,"TorchXRayVision: A library of chest X-ray datasets and models. Classifiers, segmentation, and autoencoders.","chest-radiographs, chest-xray, chest-xray-images, cxr, cxr-images, dataset, deep-learning, foundation-models, image-classification, machine-learning, medical, medical-ai, medical-application, medical-image-analysis, medical-image-processing, medical-imaging, pytorch, torchxrayvision, transfer-learning",small,Yes,GitHub Actions
mlperf/inference,N,1467,1824,52082,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing,2025-09-24,100,113,4524.0,ML Frameworks / Libraries,5,Reference implementations of MLPerf™ inference benchmarks,"benchmark, machine-learning",large,Yes,GitHub Actions
mlperf/training,N,1715,379,78482,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2025-09-22,51,62,2659.7,Natural Language Processing,1,Reference implementations of MLPerf® training benchmarks,"benchmark, machine-learning",large,Yes,GitHub Actions
mozilla/bugbug,Y,547,6468,28261,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mozilla/bugbug/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mozilla/bugbug/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/bugbug/issues/1642 and https://github.com/mozilla/bugbug/issues/1641",https://github.com/mozilla/bugbug/blob/master/LICENSE,There are many files related to testing,2025-09-26,30,111,5489.2,Natural Language Processing,2,Platform for Machine Learning projects on Software Engineering,"ai, developer-tools, llm, machine-learning, ml, python, software-engineering",large,Yes,GitHub Actions
mozilla/DeepSpeech,Y,26614,3467,8842,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mozilla/DeepSpeech/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a README but someof the functions in the https://github.com/mozilla/DeepSpeech/blob/master/training/deepspeech_training/util/augmentations.py have docstrings,https://github.com/mozilla/DeepSpeech/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/DeepSpeech/issues?q=is%3Aissue+author%3Atilmankamp and https://github.com/mozilla/DeepSpeech/issues/3143",https://github.com/mozilla/DeepSpeech/blob/master/LICENSE,There are files related to testing,2025-06-19,63,128,15525.7,Domain-Specific Applications,3,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.","deep-learning, deepspeech, embedded, machine-learning, neural-networks, offline, on-device, speech-recognition, speech-to-text, tensorflow",small,Yes,"Makefile (Possible CI), GitHub Actions"
mpariente/asteroid,Y,2462,918,19013,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mpariente/asteroid/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/consistency.py and https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/convolutional.py and https://github.com/mpariente/asteroid/blob/master/asteroid/engine/optimizers.py have appropriate docstrings,https://github.com/mpariente/asteroid/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mpariente/asteroid/issues/161 and https://github.com/mpariente/asteroid/issues/158",https://github.com/mpariente/asteroid/blob/master/LICENSE,There are many files related to testing,2025-07-23,18,54,2880.2,ML Frameworks / Libraries,2,The PyTorch-based audio source separation toolkit for researchers,"audio-separation, deep-learning, pretrained-models, pytorch, source-separation, speech-enhancement, speech-separation",medium,Yes,GitHub Actions
namisan/mt-dnn,Y,2255,582,13012,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/namisan/mt-dnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/namisan/mt-dnn/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/namisan/mt-dnn/issues/177 and https://github.com/namisan/mt-dnn/issues/174",https://github.com/namisan/mt-dnn/blob/master/LICENSE,There are files related to testing,2024-03-07,9,17,1586.6,Natural Language Processing,6,Multi-Task Deep Neural Networks for Natural Language Understanding,"bert, deep-learning, machine-reading-comprehension, microsoft, multi-task-learning, named-entity-recognition, natural-language-understanding, nlp, pytorch, ranking",medium,Yes,Travis CI
nanoporetech/medaka,Y,482,1494,13952,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/nanoporetech/medaka/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/nanoporetech/medaka/blob/master/src/medaka_trimbam.h and https://github.com/nanoporetech/medaka/blob/master/src/medaka_trimbam.c and https://github.com/nanoporetech/medaka/blob/master/medaka/keras_ext.py have appropriate docstrings,https://github.com/nanoporetech/medaka/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/nanoporetech/medaka/issues/176 and https://github.com/nanoporetech/medaka/issues/175",https://github.com/nanoporetech/medaka/blob/master/LICENSE.md,There are many files related to testing,2025-08-19,2,18,1181.0,Reinforcement Learning,2,Sequence correction provided by ONT Research,"medaka, nanopore",medium,Yes,"GitLab CI, Makefile (Possible CI), GitHub Actions"
NLeSC/mcfly,Y,365,936,1749,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NLeSC/mcfly/graphs/contributors shows that there are multiple contributors,The project uses Travis CI and appveyor CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/24",https://github.com/NLeSC/mcfly/blob/master/LICENSE is provided.,There are many files related to testing.,2025-07-28,10,15,876.8,Data Science / Traditional ML,5,A deep learning tool for time series classification and regression,"auto-ml, deep-learning, time-series",small,Yes,GitHub Actions
norse/norse,Y,759,412,14090,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/norse/norse/graphs/contributors shows there are multiple contributors but mainly 2,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/norse/norse/blob/master/norse/torch/module/encode.py and https://github.com/norse/norse/blob/master/norse/torch/module/leaky_integrator.py and https://github.com/norse/norse/blob/master/norse/torch/functional/superspike.py have appropriate docstrings,https://github.com/norse/norse/graphs/commit-activity shows there are some activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/norse/norse/issues/81 and https://github.com/norse/norse/issues/71",https://github.com/norse/norse/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-09-23,32,24,1147.2,Data Science / Traditional ML,2,Deep learning with spiking neural networks (SNNs) in PyTorch.,"autograd, deep-learning, gpu, machine-learning, neural-network, neuromorphic, pytorch, pytorch-lightning, spiking-neural-networks, tensor",medium,Yes,GitHub Actions
nussl/nussl,Y,640,1030,15649,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/nussl/nussl/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/nussl/nussl/blob/master/nussl/core/audio_signal.py and https://github.com/nussl/nussl/blob/master/nussl/ml/networks/separation_model.py and https://github.com/nussl/nussl/blob/master/nussl/ml/networks/builders.py have appropriate docstrings,https://github.com/nussl/nussl/graphs/commit-activity shows there are activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/nussl/nussl/issues/160 and https://github.com/nussl/nussl/issues/159",https://github.com/nussl/nussl/blob/master/LICENSE.md,There are many files related to testing,2024-12-09,8,10,865.0,Domain-Specific Applications,5,A flexible source separation library in Python,"audio, duet, hpss, nmf, nussl, repet, source-separation",medium,Yes,GitHub Actions
