GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category,domain,has_ci,size_category,commit_freq,team_size,activity_level
SeldonIO/alibi-detect,Y,2429,746,24028,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi-detect/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,Do reply to issues last time but not now,https://github.com/SeldonIO/alibi-detect/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,14,25,1945.4,3,"Algorithms for outlier, adversarial and drift detection","adversarial, anomaly, concept-drift, data-drift, detection, drift-detection, images, outlier, semi-supervised-learning, tabular-data, text, time-series, unsupervised-learning",medium,2019-10-07T13:29:13Z,2019-10-07 13:29:13,2249,1743,72.54036956883635,Young,Domain-Specific Applications,True,medium,121.15451311694086,Small,Low
skorch-dev/skorch,Y,6113,1123,20587,X The source code of the project exists as ad-hoc scripts.,"4-6 active contributers, 33 contributers in total",Travis used,Documentation not negligible,Commit activity not negligible,45 open << 266 closed,License provided,X Doesn't seem to have unit test,2025-08-15,46,62,4642.1,6,A scikit-learn compatible neural network library that wraps PyTorch,"hacktoberfest, huggingface, machine-learning, pytorch, scikit-learn",medium,2017-07-18T00:13:54Z,2017-07-18 00:13:54,3061,1657,80.48768640404138,Mature,ML Frameworks / Libraries,True,medium,134.00057170859196,Large,Low
slundberg/shap,Y,24462,2867,23375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 87 contributers",Travis used,Documentation provided,Commit activity not negligible,643 open >> 428 closed,License provided,A number of tests,2025-09-26,18,228,17484.9,8,A game theoretic approach to explain the output of any machine learning model.,"deep-learning, explainability, gradient-boosting, interpretability, machine-learning, shap, shapley",medium,2016-11-22T19:17:08Z,2016-11-22 19:17:08,3298,898,38.41711229946524,Mature,Data Science / Traditional ML,True,medium,317.5172073984233,Large,High
snap-stanford/ogb,N,2036,679,21473,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,2025-05-06,3,25,1768.1,5,"Benchmark datasets, data loaders, and evaluators for graph machine learning","datasets, deep-learning, graph-machine-learning, graph-neural-networks",medium,2019-11-22T22:13:57Z,2019-11-22 22:13:57,2203,1029,47.92064453034043,Young,Domain-Specific Applications,False,medium,112.57591920108942,Small,Low
SPFlow/SPFlow,Y,304,650,16505,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SPFlow/SPFlow/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SPFlow/SPFlow/issues/78 and https://github.com/SPFlow/SPFlow/issues/58 but not often",https://github.com/SPFlow/SPFlow/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-04-04,11,22,976.6,3,Sum Product Flow: An Easy and Extensible Library for Sum-Product Networks,"deep-learning, graphical-models, machine-learning, mixture-model, spn, sum-product-networks, tensorflow-models",medium,2018-03-20T11:32:00Z,2018-03-20 11:32:00,2815,717,43.44138139957589,Mature,ML Frameworks / Libraries,True,medium,84.33836589698046,Small,Low
sql-machine-learning/elasticdl,Y,743,1829,21950,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,14 active contributors out of 18,Travis used,Documentation provided,"Recent, Commit activity not negligible",101 open << 641 closed,License provided,Tests contained,2024-01-26,9,23,1535.9,4,Kubernetes-native Deep Learning Framework,"deep-learning, distributed-systems, kubernetes, tensorflow",medium,2018-10-22T23:53:10Z,2018-10-22 23:53:10,2599,882,40.182232346241456,Young,ML Frameworks / Libraries,True,medium,257.0381877645248,Small,High
tensorflow/io,Y,731,1700,26222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",100 open < 213 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-04-10,8,104,3922.4,2,"Dataset, streaming, and file system extensions maintained by TensorFlow SIG-IO","dataset, filesystem, streaming, tensorflow, tensorflow-io",medium,2018-11-09T22:44:05Z,2018-11-09 22:44:05,2581,478,18.228968042102053,Young,ML Frameworks / Libraries,True,medium,240.57535838822162,Large,High
tensorflow/quantum,Y,2017,934,15821,Organised but not in modules,"2 have significantly more commits than others, but 16 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",36 open < 61 closed,License provided,A number of tests https://github.com/tensorflow/quantum/tree/master/benchmarks/scripts,2025-09-14,23,35,2137.0,4,An open-source Python framework for hybrid quantum-classical machine learning.,"algorithms, api, cirq, google, google-quantum, machine-learning, machine-learning-algorithms, machine-learning-library, nisq, python, qml, quantum, quantum-algorithms, quantum-computing, quantum-information, quantum-machine-learning, quantum-programming, quantum-simulation, sdk, tensorflow",medium,2020-02-06T19:58:35Z,2020-02-06 19:58:35,2127,372,23.513052272296314,Young,ML Frameworks / Libraries,True,medium,160.38716502115656,Small,Low
tensorflow/text,N,1273,922,18446,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,2025-08-18,245,111,4115.8,3,Making text a first-class citizen in TensorFlow.,,medium,2019-05-29T22:10:03Z,2019-05-29 22:10:03,2380,409,22.172828797571288,Young,ML Frameworks / Libraries,False,medium,141.49600840336134,Large,Low
tensorflow/tfjs,Y,18968,6112,12161,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"100 contributers, most significant",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",376 open << 1828 closed,License provided,Have,2025-06-06,490,340,19620.800000000003,3,A WebGL accelerated JavaScript library for training and deploying ML models.,"deep-learning, deep-neural-network, gpu-acceleration, javascript, machine-learning, neural-network, typescript, wasm, web-assembly, webgl",medium,2018-03-05T05:41:02Z,2018-03-05 05:41:02,2830,141,11.594441246608008,Mature,ML Frameworks / Libraries,True,medium,788.8367491166077,Large,High
tf-encrypted/tf-encrypted,Y,1235,605,22814,Organised but not in modules,"1 has significantly more commits than others, but 24 contributers",CircleCI used,Documentation provided,Commit activity not negligible,155 open < 222 closed,License provided,Quite a number of tests,2024-09-25,59,25,1425.5,4,A Framework for Encrypted Machine Learning in TensorFlow,"confidential-computing, cryptography, deep-learning, machine-learning, privacy, secure-computation, tensorflow",medium,2018-03-21T18:22:13Z,2018-03-21 18:22:13,2814,866,37.95914789164548,Mature,ML Frameworks / Libraries,True,medium,78.52745202558636,Small,Low
uber/causalml,Y,5589,653,11144,Organised but not in modules,"2 has significantly more commits than others, but 14contributers",Travis used,Documentation provided,Commits are quite spread out,20 open < 80 closed,License provided,A number,2025-09-26,127,68,4471.5,1,Uplift modeling and causal inference with machine learning algorithms,"causal-inference, incubation, machine-learning, uplift-modeling",medium,2019-07-09T02:08:58Z,2019-07-09 02:08:58,2340,642,57.60947595118449,Young,Data Science / Traditional ML,True,medium,101.92660256410257,Large,Low
ultralytics/yolov3,Y,10457,2899,11096,Organised but not in modules,"1 has significantly more commits than others, but 33 contributers",X CI is not used on the project.,X not much,"Recent, Commit activity not negligible",104 open << 1164 closed,License provided,X 1,2025-08-26,3,48,6492.5,7,YOLOv3 in PyTorch > ONNX > CoreML > TFLite,"deep-learning, machine-learning, object-detection, ultralytics, yolo, yolov3, yolov5",medium,2018-08-26T08:57:20Z,2018-08-26 08:57:20,2656,501,45.151405912040374,Young,Computer Vision,True,medium,398.6670745481928,Small,High
ultralytics/yolov5,Y,55509,2916,11454,Organised but not in modules,"1 has significantly more commits than others, but 11 contributers",X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",139 open > 105 closed,License provided,X 1,2025-09-21,12,335,33128.4,8,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,"coreml, deep-learning, ios, machine-learning, ml, object-detection, onnx, pytorch, tflite, ultralytics, yolo, yolov3, yolov5",medium,2020-05-18T03:45:11Z,2020-05-18 03:45:11,2025,505,44.08940108259123,Young,Computer Vision,True,medium,525.96,Large,High
vanvalenlab/deepcell-tf,Y,465,421,14131,Organised but not in modules,"1 has significantly more commits than others, but 12 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",29 open << 120 closed,License provided,X Doesn't seem to have unit test,2024-08-30,19,21,942.3,2,Deep Learning Library for Single Cell Analysis,"cell-biology, deep-learning, instance-segmentation, tensorflow",medium,2018-05-16T17:41:14Z,2018-05-16 17:41:14,2758,512,36.232396857971835,Young,ML Frameworks / Libraries,True,medium,55.754260333575054,Small,Low
vespa-engine/sample-apps,Y,380,5644,11979,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,around 14 have significant contributions,Travis used,Documentation provided,"Recent, Commit activity not negligible",no issues,License provided,X Doesn't seem to have unit test,2025-09-24,40,63,3735.2,2,"Repository of sample applications for https://vespa.ai, the open big data serving engine ",,medium,2017-08-16T09:12:25Z,2017-08-16 09:12:25,3031,258,21.537690959178562,Mature,MLOps / Deployment,True,medium,680.129000329924,Large,High
vwxyzjn/cleanrl,N,7945,841,12634,X The source code of the project exists as ad-hoc scripts.,"1 has significantly more commits than others, 2 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",3 open < 7 closed,License provided,A number,2025-07-08,126,42,4690.3,8,"High-quality single file implementation of Deep Reinforcement Learning algorithms with research-friendly features (PPO, DQN, C51, DDPG, TD3, SAC, PPG)","a2c, actor-critic, advantage-actor-critic, ale, atari, deep-learning, deep-reinforcement-learning, gym, machine-learning, phasic-policy-gradient, ppo, proximal-policy-optimization, python, pytorch, reinforcement-learning, wandb",medium,2019-06-07T16:31:50Z,2019-06-07 16:31:50,2371,541,42.82095931613107,Young,Reinforcement Learning,True,medium,129.55514550822437,Small,Low
yzhao062/pyod,Y,9471,1895,16576,Organised but not in modules and few files,"1 has significantly more commits than others, 14 contributers",CircleCI used,Have a docs folder,"Recent, Commit activity not negligible",57 open < 66 closed,License provided,Quite a number,2025-04-29,2,53,5946.9,4,"A Python Library for Outlier and Anomaly Detection, Integrating Classical and Deep Learning Techniques","anomaly, anomaly-detection, autoencoder, data-analysis, data-mining, data-science, deep-learning, fraud-detection, machine-learning, neural-networks, novelty-detection, out-of-distribution-detection, outlier-detection, outlier-ensembles, outliers, python, python3, unsupervised-learning",medium,2017-10-03T20:29:04Z,2017-10-03 20:29:04,2983,810,48.865830115830114,Mature,Data Science / Traditional ML,True,medium,232.03109285953735,Small,High
aiqm/torchani,Y,516,990,53385,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-09,11,16,983.4,2,"TorchANI 2.0 is an open-source library that supports training, development, and research of ANI-style neural network interatomic potentials. It was originally developed and is currently maintained by the Roitberg group. ","deep-learning, force-field, molecular-simulation, neural-network, pytorch, quantum-chemistry, quantum-mechanics",large,2018-04-02T15:43:04Z,2018-04-02 15:43:04,2802,517,9.684368268240142,Mature,ML Frameworks / Libraries,True,large,129.0497858672377,Small,Low
allegroai/trains,Y,6293,2561,157601,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2025-09-26,4,99,6255.5,12,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","ai, clearml, control, deep-learning, deeplearning, devops, experiment, experiment-manager, k8s, machine-learning, machinelearning, mlops, trains, trainsai, version, version-control",large,2019-06-10T08:18:32Z,2019-06-10 08:18:32,2368,3221,20.437687578124503,Young,MLOps / Deployment,True,large,395.0191089527027,Large,High
apache/beam,Y,8304,45656,249436,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,230,842,42278.4,1,Apache Beam is a unified programming model for Batch and Streaming data processing.,"batch, beam, big-data, golang, java, python, sql, streaming",large,2016-02-02T08:00:06Z,2016-02-02 08:00:06,3592,13800,55.32481277762633,Mature,MLOps / Deployment,True,large,4642.49832962138,Large,High
arviz-devs/arviz,Y,1729,1614,33576,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,The project uses Azure Pipeline CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-17,6,173,6365.8,1,Exploratory analysis of Bayesian models with Python,"bayesian, closember, python",large,2015-07-29T11:51:10Z,2015-07-29 11:51:10,3780,596,17.75077436263998,Mature,Data Science / Traditional ML,True,large,155.9559523809524,Large,Low
avrae/avrae,Y,439,6107,35896,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/avrae/avrae/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"Most of the bugs raised by bot, resolved then closed by bot",https://github.com/avrae/avrae/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-26,30,42,3267.7,2,A Discord bot to streamline running D&D 5e.,"avrae, ddb, discord-bot, dnd5e, dungeons-and-dragons, hacktoberfest",large,2017-02-02T04:40:12Z,2017-02-02 04:40:12,3226,1004,27.969690216180076,Mature,Domain-Specific Applications,True,large,691.4388561686299,Small,High
awslabs/amazon-sagemaker-examples,Y,10746,3175,70067,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/awslabs/amazon-sagemaker-examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,Open issues more than closed,https://github.com/awslabs/amazon-sagemaker-examples/blob/master/LICENSE.txt is provided.,There are many projects in this git and some of them have test files,2025-09-03,191,531,21180.9,3,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ","aws, data-science, deep-learning, examples, inference, jupyter-notebook, machine-learning, mlops, reinforcement-learning, sagemaker, training",large,2017-10-23T05:55:22Z,2017-10-23 05:55:22,2963,2898,41.360412176916384,Mature,Reinforcement Learning,True,large,391.3833108336146,Large,High
bulletphysics/bullet3,Y,13791,9404,100791,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bulletphysics/bullet3/graphs/contributors shows that there are multiple contributors,The project uses Travis and Appveyor CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bulletphysics/bullet3/issues/2834 and https://github.com/bulletphysics/bullet3/issues/2907",https://github.com/bulletphysics/bullet3/blob/master/LICENSE.txt is provided.,There are many files related to testing,2025-04-23,19,223,15027.6,4,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.","computer-animation, game-development, kinematics, pybullet, reinforcement-learning, robotics, simulation, simulator, virtual-reality",large,2011-04-12T18:45:08Z,2011-04-12 18:45:08,5349,2829,28.06798226032086,Mature,Reinforcement Learning,True,large,642.1407739764442,Large,High
calico/basenji,Y,452,2009,39869,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/calico/basenji/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/calico/basenji/issues/55 and https://github.com/calico/basenji/issues/57",https://github.com/calico/basenji/blob/master/LICENSE is provided.,There are many files related to testing,2025-05-16,21,7,993.5,2,Sequential regulatory activity predictions with deep convolutional neural networks.,,large,2017-07-05T17:54:18Z,2017-07-05 17:54:18,3073,1409,35.3407409265344,Mature,Domain-Specific Applications,False,large,238.7853075170843,Small,High
CLUEbenchmark/CLUE,Y,4188,528,48963,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CLUEbenchmark/CLUE/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,The author of the project reply to only some of the issues,"There are multiple license files found in models folder such as bert, ernie and bert_wwm.ext",There are many files related to testing specifically 1-2 for each model,2025-09-08,34,20,2433.6000000000004,5,"中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard  ","albert, benchmark, bert, chinese, chineseglue, corpus, dataset, glue, language-model, nlu, pretrained-models, pytorch, roberta, tensorflow, transformers",large,2019-11-22T08:25:02Z,2019-11-22 08:25:02,2203,4524,92.39629924636971,Young,Natural Language Processing,False,large,87.5406264185202,Small,Low
commaai/openpilot,Y,56169,15894,45846,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/commaai/openpilot/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/commaai/openpilot/issues/1829 and https://github.com/commaai/openpilot/issues/1835",https://github.com/commaai/openpilot/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,97,672,47395.8,2,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.","advanced-driver-assistance-systems, driver-assistance-systems, robotics",large,2016-11-24T01:33:30Z,2016-11-24 01:33:30,3297,2377,51.847489421105436,Mature,Domain-Specific Applications,True,large,1760.7775250227478,Large,High
creme-ml/creme,Y,5558,3982,31014,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/creme-ml/creme/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/creme-ml/creme/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/creme-ml/creme/issues/302",https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,16,121,7047.8,3,🌊 Online machine learning in Python,"concept-drift, data-science, incremental-learning, machine-learning, online-learning, online-machine-learning, online-statistics, python, real-time-processing, stream-processing, streaming, streaming-data",large,2019-01-24T15:18:26Z,2019-01-24 15:18:26,2505,1130,36.43515831559941,Young,Data Science / Traditional ML,True,large,580.6089820359282,Large,High
data-science-on-aws/workshop,N,3409,3376,95889,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,2024-07-31,6,14,2796.4,8,"AI and Machine Learning with Kubeflow, Amazon EKS, and SageMaker",,large,2020-02-29T19:33:58Z,2020-02-29 19:33:58,2104,9168,95.6105496980884,Young,MLOps / Deployment,False,large,586.0665399239543,Small,High
deepchem/deepchem,Y,6227,10635,105916,The source code of the project exists as ad-hoc scripts.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepchem/deepchem/tree/master/docs,Checking https://github.com/deepchem/deepchem/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepchem/deepchem/issues/1975",https://github.com/deepchem/deepchem/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24,15,189,11351.3,3,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology","biology, deep-learning, drug-discovery, hacktoberfest, materials-science, quantum-chemistry",large,2015-09-24T23:20:28Z,2015-09-24 23:20:28,3723,5034,47.52822991804827,Mature,Data Science / Traditional ML,True,large,1043.3612006446413,Large,High
deepfakes/faceswap,Y,54523,1840,46036,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-18,7,81,24791.2,2,Deepfakes Software For All,"deep-face-swap, deep-learning, deep-neural-networks, deepface, deepfakes, deeplearning, face-swap, faceswap, fakeapp, machine-learning, myfakeapp, neural-nets, neural-networks, openfaceswap",large,2017-12-19T09:44:13Z,2017-12-19 09:44:13,2906,627,13.619775827613173,Mature,Computer Vision,True,large,231.26634549208535,Large,High
deepmind/open_spiel,Y,4753,4740,64877,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/open_spiel/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained documentation at https://github.com/deepmind/open_spiel/tree/master/docs , https://github.com/deepmind/open_spiel/tree/master/swift and majority of the functions at https://github.com/deepmind/open_spiel/blob/master/open_spiel/scripts/install.sh",Checking https://github.com/deepmind/open_spiel/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/open_spiel/issues/292 and https://github.com/deepmind/open_spiel/issues/291",https://github.com/deepmind/open_spiel/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24,133,187,8933.2,4,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,"cpp, games, multiagent, python, reinforcement-learning",large,2019-07-22T13:50:21Z,2019-07-22 13:50:21,2326,1915,29.517394454120875,Young,Reinforcement Learning,True,large,744.3185726569217,Large,High
determined-ai/determined,Y,3190,8394,93990,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/determined-ai/determined/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://docs.determined.ai/latest/,Checking https://github.com/determined-ai/determined/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/determined-ai/determined/blob/master/LICENSE is provided,There are many files related to testing.,2025-03-20,299,99,6764.2,5,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.","data-science, deep-learning, distributed-training, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning, keras, kubernetes, machine-learning, ml-infrastructure, ml-platform, mlops, pytorch, tensorflow",large,2020-04-07T16:12:29Z,2020-04-07 16:12:29,2066,3011,32.0353229066922,Young,MLOps / Deployment,True,large,1483.982817037754,Large,High
dmlc/dgl,Y,14080,4417,197271,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/dmlc/dgl/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/dmlc/dgl/blob/master/python/dgl/convert.py and https://github.com/dmlc/dgl/blob/master/python/dgl/view.py,Checking https://github.com/dmlc/dgl/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dmlc/dgl/issues/1743 and https://github.com/dmlc/dgl/issues/1727",https://github.com/dmlc/dgl/blob/master/LICENSE is provided,There are many files related to testing.,2025-07-31,33,288,15597.1,5,"Python package built to ease deep learning on graph, on top of existing DL frameworks.","deep-learning, graph-neural-networks",large,2018-04-20T14:49:09Z,2018-04-20 14:49:09,2784,12202,61.85399779998073,Mature,Domain-Specific Applications,True,large,579.4932650862069,Large,High
facebookresearch/habitat-api,Y,2581,937,64676,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/habitat-api/tree/master/docs,Checking https://github.com/facebookresearch/habitat-api/pulse/monthly there has been 8 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/habitat-api/issues/422",https://github.com/facebookresearch/habitat-api/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-17,521,61,3143.5,3,A modular high-level library to train embodied AI agents across a variety of tasks and environments.,"ai, computer-vision, deep-learning, deep-reinforcement-learning, python, reinforcement-learning, research, robotics, sim2real, simulator",large,2019-02-04T23:12:51Z,2019-02-04 23:12:51,2494,2292,35.43818417960294,Young,Computer Vision,True,large,137.22504009623094,Large,Low
facebookresearch/mmf,Y,5592,1108,43269,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/mmf/tree/master/docs,Checking https://github.com/facebookresearch/mmf/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/mmf/issues/364",https://github.com/facebookresearch/mmf/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-24,75,82,5029.200000000001,2,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),"captioning, deep-learning, dialog, hateful-memes, multi-tasking, multimodal, pretrained-models, pytorch, textvqa, vqa",large,2018-06-27T04:52:40Z,2018-06-27 04:52:40,2716,1748,40.39843768055652,Young,ML Frameworks / Libraries,True,large,149.00478645066275,Large,Low
facebookresearch/nevergrad,Y,4118,1145,32642,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/nevergrad/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/nevergrad/tree/master/docs,Checking https://github.com/facebookresearch/nevergrad/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/nevergrad/issues/746",https://github.com/facebookresearch/nevergrad/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-23,125,56,3670.7,2,A Python toolbox for performing gradient-free optimization,,large,2018-11-21T00:33:17Z,2018-11-21 00:33:17,2570,726,22.241284235034616,Young,Data Science / Traditional ML,True,large,162.72811284046693,Large,Low
